testuserid,screen_name,affiliation,accuracy,dem_score,rep_score
2363338898,DrKels50,democrat,0.9415460289315993,0.02482906886019778,0.0015414622633544838
24214477,drossthaboss,democrat,1.0,0.028986398559464402,0.0
18367869,DrPhilWilliams,democrat,1.0,0.013413393596210625,0.0
23144157,dufme609,republican,0.6719983055500794,0.00198806031022838,0.0040730678603515995
1014173604777480192,dustylusemd,republican,1.0,0.0,0.012879826073321192
597629697,E1iteangel,republican,0.7009058473236303,0.04688896158349623,0.10988094235451795
321743888,EdwinM201,republican,0.7804328834419174,0.05841521318012561,0.2076319713702663
1008489393294905344,ehlinger_robert,republican,0.7703065103274896,0.04313179022590182,0.1446479778789659
432873209,EHuffHouProud,democrat,1.0,0.0230535148454401,0.0
85432374,ejkusnyer,democrat,1.0,0.06649560432721711,0.0
4158761472,ElizLaxMom,republican,1.0,0.0,1.3614475290167607
1014356046243123203,emilymnguyen,republican,1.0,0.0,0.206716099572942
265192172,ericallencanuck,republican,0.6289147508309552,0.00718547418450531,0.01217793139573651
847857686414753793,EricRobken,democrat,0.7647797250929614,0.0846857141619886,0.02604645012452511
1468661203,ErynnScollard,republican,0.9900173811101632,0.0033423991786456957,0.33147947627615937
4847406505,FairaleeCarrier,democrat,0.6171439080783823,0.5864777417209013,0.3638317955587146
1325693888,FosterMyron,republican,1.0,0.0,0.103358049786471
35767105,Fred15R,democrat,0.8864644600403693,0.7121094129406148,0.0912047017709728
369596428,Game2125,democrat,1.0,0.004519373835006488,0.0
120170644,GCBmommy,democrat,0.8395270566574458,0.031253117299612304,0.00597393458844208
168517023,genemiller66,democrat,0.9014145111745118,5.136186301135704,0.5617320676771428
1219816106942222336,GeorgeStr20,democrat,0.8698170428456001,0.384143087298682,0.05749356544148588
1573988042,greenjoshua13,democrat,0.5939576257784757,0.16326767159544014,0.111613337603578
373072273,hannah_alfred,republican,0.9406898316821005,0.01955006780146767,0.310074149359413
963975920401842176,HeatherSGolden,democrat,1.0,0.05393981231270812,0.0
194310511,hlg92,democrat,0.917160749097715,0.16942454722800465,0.015302663781277261
3234654200,HotzePaul,democrat,0.5593800800945922,0.034159510769182805,0.02690721646108676
117427082,HoustonPaige,republican,0.9464289453704571,0.0059328837140243,0.10481505199587826
3321900656,iissrraaeell09,democrat,1.0,0.06324191214265505,0.0
2743128298,jacksontmilton,democrat,0.7398045135244655,5.5810670417194155,1.962908345955545
1319108592,JasonLeeRealtor,republican,0.9673589058320117,0.15703991291534386,4.654070649345011
181249304,jbarton1976,democrat,0.5051011661359868,0.23779426699364298,0.2329911576624989
272034783,jcastaneda1974,democrat,0.8514043190022442,9.090918416860784,1.5866389010470916
561240252,JeremiasC77,democrat,0.5887224635148013,0.33692294389372673,0.235372092857926
35958387,JessicaGogan,republican,1.0,0.0,0.028204638226648544
1018362902632419328,jilloooh,republican,0.9905418543634843,0.0051056746827369,0.5347120526976813
49731295,JMHase2,republican,1.0,0.0,0.006196072220353173
64396159,jminiel,republican,1.0,0.0,0.04447329195554773
61032995,jnjosowski,democrat,0.6955968849915919,0.11156451413634078,0.048822222123539566
3283364286,JoelCSandel,democrat,1.0,0.00185715604609462,0.0
15430664,JohnHoffmann,republican,0.6956839266957179,0.27358832303767755,0.6254385343577902
33724311,JohnnyNewsroom,democrat,0.5161595192775914,0.01962149863600487,0.01839290951337268
152414953,JohnWeth,democrat,0.9849646449247137,0.14852948039625852,0.00226728288006339
506844735,Jok3s_on_m3,republican,0.7194391997443067,0.24455323557395242,0.6271053687324051
410996173,JonathanPascale,democrat,0.8713719901787829,0.7825907279673516,0.11552251963288898
2919951044,jonathanvtx,democrat,1.0,0.00350875682097158,0.0
736683706014965761,joniperry20,republican,1.0,0.0,0.310074149359413
2962442811,JoshuaaRdz_,republican,1.0,0.0,1.2416072318704976
522423382,jpcasellas,democrat,0.7462273749334734,0.4673495966922572,0.15893350734680553
78156492,jtmulv,republican,0.6302241945160798,0.3420459982564319,0.5829631375057126
315243524,juddar22,democrat,1.0,0.0155251696256683,0.0
916171544723972096,JulieCarnett,republican,1.0,0.0,0.10579844469118996
901916676228304896,julie_sherber,republican,1.0,0.0,0.103358049786471
24221174,KAPod,democrat,1.0,0.00350875682097158,0.0
696714897531473920,karlabramson,republican,0.9292505064947942,0.09146997289926978,1.2014010904467802
752045982,kaseyrbryant,republican,0.8307820669524668,0.09867085047433118,0.48442840323546693
375467155,KatelynKubosh,republican,1.0,0.0,0.011514767269365333
392908339,kbruchmiller,republican,1.0,0.0,0.006842703151860483
84327141,KeithGrothaus,republican,1.0,0.0,0.3315597260804496
2254433681,KelvinC57,republican,1.0,0.0,0.11495751240796516
2708982892,kible_dee,republican,0.8537126070011938,0.0031394497599003287,0.01832138630767488
31423951,kikijanel,republican,0.7266313152384998,0.6243968913029678,1.6596865685407276
26764582,kimberkimi,republican,0.5942494339655291,0.07057236373827547,0.103358049786471
15876548,Kimmiedeeday,democrat,0.5881788004934877,0.1476199229607444,0.103358049786471
1917309858,kimoggforda,democrat,0.5318822491008319,0.13587933830448776,0.11958949626218025
15534970,kingwoodbudo,republican,1.0,0.0,0.21326927173716997
